tagID,timestamp,x,y,z
GPA-4_A563_S1,41:33.4,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:33.5,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:33.5,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:33.5,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:33.5,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:33.5,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:33.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.5,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:33.5,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.5,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.6,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:33.6,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.6,0.3281,-0.7031,-0.7188
GPA-4_A563_S1,41:33.7,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.7,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.8,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.8,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.9,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.9,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:33.9,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.9,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:33.9,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.0,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.0,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.0,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:34.0,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.0,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.0,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.0,0.3281,-0.7188,-0.7031
GPA-4_A563_S1,41:34.0,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.0,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:34.0,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.1,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.1,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.1,0.3438,-0.6719,-0.7031
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:34.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.3,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.3,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.3,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:34.3,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.3,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:34.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.4,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:34.4,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.5,0.3594,-0.6719,-0.7031
GPA-4_A563_S1,41:34.5,0.3438,-0.6719,-0.7031
GPA-4_A563_S1,41:34.5,0.3438,-0.6719,-0.7031
GPA-4_A563_S1,41:34.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.5,0.3281,-0.6875,-0.7344
GPA-4_A563_S1,41:34.5,0.3438,-0.6875,-0.7188
